country,car_make,car_model,car_model_year,car_color,car_price,car_condition,salesperson_name,sales_date,sales_location
Philippines,Bentley,Mrs,1997,Orange,786936.0,new,Sarine Triggs,10/22/2020,Cabangahan
Afghanistan,Volvo,Honorable,1991,Violet,111364.05,certified pre-owned,Julietta McInteer,6/8/2020,Mehtar Lām
Philippines,Mazda,Mr,2000,Goldenrod,74598.15,used,Chicky Thomkins,9/15/2021,Katipunan
Peru,Audi,Ms,1992,Pink,278331.17,new,Wrennie Hurdman,11/7/2020,Huasahuasi
France,Buick,Dr,2021,Orange,688323.44,used,Niccolo Fury,6/10/2020,Tourcoing
Mexico,Jeep,Rev,2007,Yellow,136202.38,used,Eulalie Redholls,9/1/2022,Ricardo Flores Magon
United Kingdom,Saab,Dr,2015,Maroon,718272.36,used,Jorge Mellmoth,12/21/2020,Pentre
Niger,Acura,Dr,2018,Mauv,446465.91,certified pre-owned,Jaquenette Tourot,5/21/2021,Niamey
Japan,Chrysler,Mr,2001,Purple,387130.08,certified pre-owned,Lulita Crilly,2/21/2020,Tanushimarumachi-toyoki
Colombia,Buick,Ms,1992,Goldenrod,831075.59,new,Ana Beedham,6/15/2022,Arauca
Portugal,Ford,Ms,1991,Purple,198054.32,certified pre-owned,Sondra Hymas,2/7/2022,Granja
Colombia,Chrysler,Mr,2000,Blue,879365.0,used,Talbot Shatliffe,1/18/2020,Pupiales
China,Ford,Rev,2016,Purple,333767.06,used,Carr Abad,5/2/2021,Xiaozhai
Indonesia,Chevrolet,Mr,1992,Orange,527371.25,used,Albie Beernt,4/22/2020,Kotabumi
Samoa,Lincoln,Dr,2012,Orange,890053.56,new,Fancie Priscott,12/2/2020,Safotu
Nigeria,Honda,Dr,2012,Indigo,641323.6,new,Barclay Timby,5/23/2021,Langtang
Croatia,Lexus,Mrs,2002,Khaki,145714.84,new,Gerrie Whitwham,8/9/2020,Cernik
Argentina,Chevrolet,Rev,2016,Indigo,748686.58,certified pre-owned,Georgie Glanders,7/26/2022,Caleta Olivia
Russia,Audi,Ms,2022,Red,70492.66,new,Carling Paolotto,7/9/2020,Strizhi
Brazil,Cadillac,Mr,2006,Aquamarine,345283.77,certified pre-owned,Nickolaus Michie,3/28/2022,Patrocínio
Poland,Isuzu,Mrs,2016,Purple,199464.47,used,Tina Matt,12/6/2021,Łodygowice
Cape Verde,Hummer,Mr,1992,Violet,371829.39,new,Gerianne Pawelke,3/28/2020,Cidade Velha
Germany,Chrysler,Ms,2008,Turquoise,202580.36,used,Florinda O'Grogane,11/26/2020,Dillenburg
Laos,Suzuki,Honorable,2001,Teal,220049.15,certified pre-owned,Tamera Moodie,3/28/2021,Viangxai
Poland,Land Rover,Ms,2005,Violet,175747.88,new,Verney Burbank,10/29/2021,Ziębice
Uzbekistan,Saturn,Ms,2002,Yellow,431709.06,new,Roxana Gennrich,2/9/2021,Qorovulbozor
Jamaica,Ford,Dr,2016,Fuscia,970455.12,new,Leena Cadagan,1/10/2021,Wakefield
Brazil,Lamborghini,Dr,2020,Mauv,925472.45,used,Edouard Westnedge,11/11/2022,Igaraçu do Tietê
Russia,Volkswagen,Mrs,2005,Yellow,618545.36,new,Jerad Leahy,3/3/2021,Zlatoust
China,Ford,Rev,2016,Puce,996212.13,new,Calley Tabbernor,5/1/2022,Erdaocha
Russia,Lexus,Honorable,2021,Violet,168208.09,certified pre-owned,Alair Bruckmann,3/16/2020,Zelenchukskaya
Guam,Ford,Dr,2017,Indigo,289100.0,used,Fredra McKeown,11/9/2020,Agana Heights Village
Japan,MINI,Honorable,1998,Maroon,786183.62,new,Ives Bultitude,1/10/2021,Maebaru
Vietnam,Chevrolet,Mr,2006,Indigo,581583.28,used,Ibbie Hardin,11/6/2021,Ô Môn
China,Mercedes-Benz,Ms,1990,Turquoise,7400.83,used,Riley Richard,9/11/2022,Zhamao
Brazil,Maserati,Mrs,2002,Puce,830740.01,used,Tara Hobson,1/3/2021,Murici
China,Dodge,Mr,1999,Violet,351624.39,new,Janis De Luna,6/19/2021,Hedong
Indonesia,Mercury,Mr,2011,Turquoise,500949.06,used,Guy Lamberth,3/11/2021,Negeriagung
Russia,Alfa Romeo,Honorable,2009,Indigo,24990.66,certified pre-owned,Katherina Glamart,11/3/2022,Molchanovo
China,Mazda,Rev,1997,Yellow,106691.69,new,Armand Ioannou,11/16/2020,Chishui
North Korea,Ford,Mrs,2022,Khaki,32484.67,certified pre-owned,Callie Klishin,5/23/2020,Sariwŏn
Sweden,BMW,Mrs,2005,Aquamarine,773232.7,new,Brunhilde Kiloh,12/17/2021,Ellös
China,MINI,Dr,1995,Crimson,909957.94,used,Lilah Bester,8/1/2020,Dahongmen
Ukraine,Ford,Ms,2000,Turquoise,526736.47,certified pre-owned,Tracey Paulton,9/8/2021,Lyakhovtsy
Brazil,Pontiac,Honorable,2002,Teal,132133.48,used,Lorant Brownill,1/19/2022,Itaúna
Canada,Pontiac,Rev,2000,Red,343708.42,used,Boony Bullan,2/8/2020,Lunenburg
Vietnam,Bentley,Rev,1998,Green,739253.49,used,Jocelyn Frenzel;,4/10/2020,Phúc Yên
Ireland,Mercedes-Benz,Ms,1995,Crimson,333563.39,new,Bearnard Bruno,3/20/2021,Cherryville
Sierra Leone,GMC,Mrs,2004,Mauv,660696.26,new,Morse Fairman,3/8/2020,Baiima
Russia,Lexus,Rev,2011,Pink,83669.55,new,Pearla Windley,6/5/2022,Primorskiy
Sweden,Buick,Mrs,2014,Turquoise,20908.52,new,Everard Bagshaw,6/18/2021,Vällingby
Poland,GMC,Dr,2002,Fuscia,778407.49,certified pre-owned,Archer Waskett,1/3/2021,Wałcz
Nigeria,Volvo,Honorable,2000,Fuscia,601960.44,used,Emelen Dell Casa,11/11/2020,Zalanga
Philippines,Ford,Mr,2006,Turquoise,958380.41,used,Saw Surtees,10/31/2020,Tigpalay
Nigeria,Saturn,Ms,2014,Khaki,604345.23,used,Dora Joutapavicius,1/1/2021,Kibiya
Papua New Guinea,Mazda,Mrs,2002,Fuscia,303928.9,certified pre-owned,Hollie Guwer,8/7/2021,Ialibu
Poland,Mitsubishi,Dr,1994,Crimson,605472.58,used,Terrance Arghent,8/29/2021,Blachownia
Kazakhstan,Volvo,Ms,1999,Teal,917261.95,used,Ynes Bullan,10/29/2021,Maleevsk
Russia,Mazda,Mr,2003,Red,171422.81,certified pre-owned,Rona Brougham,10/18/2020,Severomorsk
China,Oldsmobile,Rev,1997,Purple,972699.8,new,Jaclyn De Blasio,9/20/2021,Shuitai
Malaysia,Infiniti,Honorable,2015,Green,127085.83,new,Matthieu O'Donnelly,3/18/2020,Kuching
China,Acura,Honorable,1993,Yellow,893277.64,new,Siusan Pollendine,1/8/2020,Dana
Indonesia,Ford,Mr,2012,Aquamarine,723171.56,new,Maia Glanester,9/23/2022,Hobonio
Argentina,Fiat,Mrs,2019,Puce,892777.29,new,Averill Greenard,12/28/2022,La Poma
Peru,Oldsmobile,Dr,1997,Teal,484732.2,certified pre-owned,Abramo Sturdgess,3/29/2021,Pacaraos
Indonesia,Mercury,Mr,2013,Khaki,937887.09,used,Cybil Enoksson,3/3/2021,Mekarsari
Poland,Nissan,Dr,1990,Turquoise,423807.64,certified pre-owned,Starr Danne,7/17/2022,Węgliniec
Germany,Ford,Mr,2002,Puce,639061.49,used,Steven Sunock,6/30/2021,Hamburg Sankt Pauli
China,GMC,Mrs,2021,Green,463330.7,certified pre-owned,Staci Meiklem,1/12/2021,Qiaotou
Norway,Ford,Ms,2005,Pink,388293.39,certified pre-owned,Fairleigh Hayler,9/12/2021,Oslo
China,Acura,Ms,1997,Red,812148.34,certified pre-owned,Fredric Wolsey,4/27/2020,Huangtang
Indonesia,Dodge,Honorable,1994,Goldenrod,236855.86,certified pre-owned,Natty Rodrigo,7/4/2021,Lebak Timur
Sudan,Subaru,Rev,1994,Crimson,257790.87,new,Free Zuanelli,6/14/2020,Wagar
Sweden,Kia,Ms,2016,Puce,886437.02,certified pre-owned,Glennis Titmuss,6/11/2021,Visby
Iran,Jeep,Mrs,1998,Violet,260935.97,certified pre-owned,Tomasina Zemler,11/15/2020,Shāhīn Shahr
Nigeria,Toyota,Ms,1995,Crimson,72101.32,certified pre-owned,Cordi Earland,5/23/2021,Lapai
Myanmar,Chevrolet,Honorable,2015,Pink,936088.14,used,Gillie Neeves,5/20/2021,Taungoo
Thailand,Cadillac,Dr,2014,Goldenrod,494708.84,used,Alisun Matson,12/4/2020,Khong Chai
Indonesia,Ford,Mr,2001,Mauv,880931.35,used,Padgett Alker,1/16/2020,Jabon
Canada,Volkswagen,Mrs,1995,Orange,933830.89,new,Abby Ezzle,9/26/2022,Otterburn Park
China,Nissan,Honorable,1992,Fuscia,920860.34,new,Morie Lomath,4/3/2020,Qingzhou
Argentina,Lincoln,Dr,1999,Violet,560289.16,new,Raimund Twopenny,5/21/2021,La Falda
Brazil,Buick,Dr,2015,Crimson,996418.42,new,Jodi Elmhirst,12/29/2020,Ipauçu
Indonesia,Plymouth,Mr,2007,Puce,293805.0,used,Kikelia Casaccio,10/19/2021,Babakan
Bulgaria,Honda,Dr,2017,Red,929677.69,used,Rebecca Fintoph,4/17/2022,Bov
Poland,BMW,Mr,2011,Green,978756.89,used,Viva Shearstone,4/13/2021,Głuchów
Malaysia,Pontiac,Dr,2004,Red,715416.07,new,Florette Butchard,7/3/2021,Kuala Lumpur
Poland,Land Rover,Dr,1994,Turquoise,929752.78,new,Estrellita Trotter,11/20/2020,Filipowice
China,Toyota,Mr,2005,Green,330916.99,new,Sioux Duxbarry,3/8/2020,Danan
China,Jeep,Rev,2010,Green,823168.42,new,Ella Curd,5/22/2020,Wuyang
Portugal,Audi,Ms,2011,Maroon,834187.74,certified pre-owned,Brannon Duly,8/5/2021,Vale de São Cosme
Russia,Jeep,Mr,2002,Indigo,194250.38,new,Geneva Godain,1/31/2022,Nizhniy Lomov
China,GMC,Mr,2002,Puce,466993.3,new,Selma Polk,4/27/2021,Luzhi
China,Mitsubishi,Mrs,2006,Orange,37632.95,new,Jesus Colegrove,3/3/2021,Ziyuan
Indonesia,Mercury,Honorable,2014,Maroon,295341.32,certified pre-owned,Delphine Timlin,7/15/2022,Rokem Barat
Mexico,Geo,Mr,1999,Violet,681495.43,certified pre-owned,Lorry Merida,1/7/2020,Francisco I Madero
Nigeria,BMW,Rev,2007,Red,513686.36,certified pre-owned,Rob Johns,3/31/2020,Dan Sadau
Sweden,Dodge,Rev,2006,Mauv,805604.48,new,Zandra de Aguirre,1/23/2022,Sundbyberg
Finland,Cadillac,Rev,2019,Orange,582469.07,new,Barb Montford,11/26/2021,Kangaslampi
China,Buick,Rev,1992,Goldenrod,281469.65,certified pre-owned,Briano Grimbaldeston,6/22/2021,Dongxing
United States,Ford,Rev,1995,Blue,627439.22,certified pre-owned,Hulda Stoggell,8/9/2021,Fullerton
Iran,Pontiac,Honorable,1999,Indigo,683918.05,new,Hamlen Ledford,5/6/2021,Qeshm
Kazakhstan,Volvo,Mr,1993,Blue,348688.04,new,Paule McGrowther,9/25/2022,Petropavlovsk
South Africa,Cadillac,Ms,2022,Goldenrod,120254.89,new,Eugen Girsch,9/13/2020,Newlands
Vietnam,Dodge,Mr,1994,Indigo,810496.73,used,Brittany Duiguid,3/30/2020,Giồng Riềng
Sweden,Acura,Ms,1991,Khaki,281692.2,used,Leisha Delnevo,2/3/2020,Bandhagen
France,Jeep,Honorable,2014,Purple,128343.27,certified pre-owned,Batholomew Ledgard,7/22/2020,Fréjus
Sierra Leone,BMW,Mr,2005,Blue,107895.86,certified pre-owned,Elnore Noore,1/18/2022,Kukuna
Brazil,GMC,Ms,2017,Green,790192.7,certified pre-owned,Jolee Chinnery,11/2/2022,Muriaé
Sweden,Lexus,Ms,1994,Fuscia,811350.08,new,Vergil Pumphreys,11/7/2020,Karlstad
China,Toyota,Mr,1992,Maroon,202782.66,new,Vassily Hart,3/5/2021,Qiaolin
Indonesia,Foose,Mrs,2017,Orange,231501.34,used,Missy Anscombe,4/27/2021,Ciperang
Nicaragua,Lincoln,Rev,2017,Teal,361601.23,used,Gwennie Cranmere,3/20/2021,Boaco
France,Isuzu,Ms,2014,Green,128900.13,certified pre-owned,Aubert Hollier,12/9/2022,Cergy-Pontoise
Canada,Honda,Ms,1999,Aquamarine,875113.27,used,Waldemar Cicco,8/10/2021,Peace River
Indonesia,Buick,Mrs,2010,Green,782145.87,new,Guglielma Garth,1/3/2020,Tongkiling
Poland,Pontiac,Rev,2010,Red,835815.96,certified pre-owned,Meade Chesman,2/18/2021,Oborniki Śląskie
Belgium,Mazda,Honorable,1996,Khaki,463836.23,certified pre-owned,Tammie Cready,3/8/2020,Mons
Indonesia,Toyota,Mrs,1996,Aquamarine,459520.34,certified pre-owned,Sinclair Streader,8/11/2021,Cijambe
Portugal,Mercury,Mrs,2020,Green,437781.89,new,Alexandr Maidstone,10/1/2022,Moreira de Geraz do Lima
China,Audi,Mrs,1999,Maroon,868405.97,certified pre-owned,Orson Thorneloe,10/25/2022,Xiatang
China,Audi,Mr,2014,Indigo,42899.23,new,Gayelord Roberts,2/20/2020,Souziqiu
Poland,Volvo,Mrs,2017,Khaki,656842.79,used,Hildy Skunes,5/4/2021,Dobra
Peru,Pontiac,Dr,1991,Teal,791558.73,new,Virgie Lahrs,12/19/2022,Cajamarca
Czech Republic,Honda,Mr,2013,Indigo,663677.08,new,Athene Ranklin,12/13/2021,Jesenice
China,Chevrolet,Mr,2003,Crimson,163958.46,new,Marlee Geaves,10/22/2022,Yanjiang
China,Volkswagen,Mr,2005,Pink,764164.55,used,Davie Coats,7/10/2022,Luxi
Ukraine,Dodge,Dr,2002,Turquoise,824247.76,new,Kennan Hawkswell,9/27/2021,Slatyne
Ukraine,Acura,Dr,2001,Teal,831725.96,new,Dennet Borth,8/5/2020,Balakliya
Brazil,Audi,Rev,2008,Mauv,637579.23,new,Carolina Filinkov,1/25/2020,São Sebastião do Caí
Russia,Pontiac,Rev,1993,Indigo,302262.48,used,Tybi Grund,7/23/2022,Urazovka
Indonesia,Mercedes-Benz,Rev,2014,Yellow,129656.69,used,Winne Gosforth,4/1/2021,Kromasan
China,Pontiac,Ms,1990,Maroon,849021.57,certified pre-owned,Marcellina Domanski,3/15/2021,Taochuan
Ghana,Ford,Dr,1999,Crimson,501319.17,used,Miof mela Herkess,5/9/2022,Wenchi
Indonesia,Mercury,Rev,1998,Aquamarine,211604.19,certified pre-owned,Weidar Melendez,7/9/2020,Karangasem
China,Geo,Dr,2020,Purple,945339.5,new,Astra Kobu,5/30/2021,Jihui
Denmark,Infiniti,Rev,1990,Orange,509969.21,certified pre-owned,Mei Lockitt,11/16/2022,København
Ireland,Mazda,Ms,2004,Turquoise,224998.56,certified pre-owned,Cullin Kift,11/25/2020,Rathangan
Indonesia,Oldsmobile,Mr,2016,Turquoise,90272.19,new,Chan Philbrook,8/13/2021,Kalebun
Portugal,Lincoln,Mrs,2002,Red,881607.29,new,Cyrillus Hagley,3/26/2022,Sobreira
Portugal,Volkswagen,Mrs,2014,Pink,85546.67,certified pre-owned,Lynea Baggott,1/13/2020,Alvide
China,Lotus,Dr,2007,Aquamarine,982838.69,certified pre-owned,Mirella Ector,6/27/2021,Qizhen
Czech Republic,Ford,Dr,2017,Aquamarine,732054.27,certified pre-owned,Gabbi Daggett,11/5/2020,Horní Libina
Indonesia,Lincoln,Honorable,2015,Red,335121.56,certified pre-owned,Liliane Sebrens,9/16/2022,Pasirbitung
Sweden,Ford,Honorable,2012,Maroon,821878.85,certified pre-owned,Bradan Darrigoe,4/11/2021,Västerås
France,Land Rover,Mr,2009,Turquoise,917679.08,certified pre-owned,Shirley Bealing,11/27/2020,Carpentras
France,Ford,Dr,1992,Teal,603224.93,certified pre-owned,Correna Stuart,1/20/2021,Poligny
Dominican Republic,Mazda,Mrs,2007,Blue,326502.51,used,Natalina Fowler,9/6/2021,San Cristóbal
China,Audi,Rev,1993,Indigo,78544.9,certified pre-owned,Kippy Charlwood,11/14/2020,Xinzheng
Netherlands,Acura,Rev,2018,Turquoise,296771.7,new,Somerset Dufoure,12/31/2020,Zaandam
Indonesia,Suzuki,Ms,2021,Purple,160194.11,certified pre-owned,Marlene Warn,1/13/2021,Besuki
Russia,Chevrolet,Mrs,2022,Goldenrod,137799.14,new,Rancell Shipsey,3/19/2021,Krasnyy Profintern
Ghana,Aston Martin,Dr,2012,Yellow,609243.84,used,Ripley Palay,9/10/2020,Mamponteng
Portugal,Honda,Mrs,1990,Puce,907556.1,certified pre-owned,Jayme Terry,2/16/2022,Lameira
Sweden,Honda,Mr,1993,Goldenrod,280994.6,certified pre-owned,Lari Gameson,10/20/2020,Emmaboda
China,Dodge,Dr,2012,Teal,263469.78,new,Gawain Ponten,4/23/2020,Yangqiaodian
Japan,Cadillac,Mrs,2008,Yellow,576825.89,used,Stephanus Kampshell,9/8/2021,Tsukuba
Slovenia,GMC,Mrs,1992,Yellow,298567.72,certified pre-owned,Jessalyn Clohessy,11/26/2021,Zgornje Bitnje
Philippines,Lincoln,Rev,2019,Mauv,596952.37,used,Jewel Cathery,8/1/2022,Consuelo
Philippines,Ford,Ms,1999,Maroon,794741.56,used,Aubert Pavy,7/7/2021,Kinamayan
China,Bentley,Honorable,2005,Aquamarine,207963.82,certified pre-owned,Lamond Polden,11/10/2020,Cheping
Argentina,Ford,Mr,2003,Indigo,634259.46,used,Dougie Maulin,3/30/2021,Villa Bustos
China,Dodge,Honorable,1999,Green,717098.8,used,Veriee Pero,12/18/2020,Mozhong
Mexico,Hyundai,Mr,2005,Red,215524.56,used,Marci Langsdon,11/2/2020,La Aurora
China,Chevrolet,Ms,2018,Violet,387853.79,new,Else Christophe,12/12/2020,Oroqen Zizhiqi
Poland,BMW,Ms,2012,Purple,726285.53,used,Jasper Strowger,12/25/2020,Nowogard
China,Nissan,Rev,2010,Yellow,174444.68,new,Kirk Dotterill,1/17/2020,Zhangqing
Russia,Eagle,Dr,2001,Orange,845001.13,used,Daron Lindenfeld,9/13/2020,Podporozh’ye
Egypt,GMC,Rev,1991,Goldenrod,869769.94,certified pre-owned,Guillaume Fuidge,8/6/2020,Al Jīzah
Sri Lanka,Toyota,Honorable,2001,Mauv,735740.35,certified pre-owned,Morna Brecher,1/14/2022,Matara
Greece,Mazda,Mrs,2005,Teal,586308.82,used,Robina Grinikhinov,2/5/2022,Alexandroúpoli
Sweden,Dodge,Rev,1992,Teal,421672.12,certified pre-owned,Lemar Itzkovsky,2/4/2022,Enskede
Ukraine,Audi,Mrs,2003,Teal,968702.91,used,Theo Kubelka,10/12/2021,Chervonopartyzans’k
Zambia,Subaru,Honorable,1997,Khaki,653851.35,certified pre-owned,Dorian Atrill,7/31/2020,Mkushi
Japan,Chevrolet,Rev,2017,Puce,438705.08,new,Cecilia Silvermann,6/4/2022,Shingū
Poland,Kia,Honorable,1990,Blue,29168.57,used,Kendra Errol,12/8/2022,Bystrzyca
Pakistan,Jaguar,Mrs,2000,Khaki,858860.49,new,Shea Chastagnier,12/14/2020,Landi Kotal
France,Mitsubishi,Honorable,2002,Aquamarine,524540.65,new,Towny Grisenthwaite,4/10/2022,Orléans
United States,GMC,Mrs,1990,Yellow,532210.85,certified pre-owned,Ema Roundtree,12/17/2020,Cincinnati
Germany,Honda,Mr,1995,Goldenrod,811372.96,new,Sherwood Ellingworth,12/7/2020,Chemnitz
Poland,Infiniti,Honorable,2013,Mauv,849823.26,certified pre-owned,Dennie Attwooll,6/11/2020,Drzewica
Saudi Arabia,Chevrolet,Honorable,2017,Indigo,973345.71,new,Marillin Paterno,9/17/2022,Farasān
Indonesia,Toyota,Mrs,2020,Green,284530.54,used,Lauren Glavias,1/31/2022,Tondano
Argentina,Saab,Mrs,2003,Goldenrod,334565.38,used,Maurie Pavluk,9/8/2021,El Soberbio
Philippines,BMW,Mrs,1999,Indigo,54353.07,certified pre-owned,Mischa Daniele,7/11/2020,Bayambang
Syria,Volvo,Dr,2016,Turquoise,835333.07,used,Klarika Riach,9/29/2020,Sarmīn
Azerbaijan,Ford,Honorable,2012,Maroon,777432.24,new,Bayard Peaker,5/13/2021,Yeni Suraxanı
Myanmar,Subaru,Honorable,2005,Yellow,985951.65,certified pre-owned,Essie Birrell,11/9/2020,Paungde
China,Buick,Ms,1996,Turquoise,864851.69,certified pre-owned,Tania Axford,8/7/2021,Yongfu
Zambia,Ford,Ms,2005,Orange,503695.43,certified pre-owned,Jacquelynn Sueter,10/8/2021,Kalabo
China,GMC,Ms,2003,Indigo,58428.95,certified pre-owned,Ernst Penner,7/27/2022,Honghualiangzi
Philippines,Mazda,Ms,2014,Goldenrod,202969.59,certified pre-owned,Teresina Shilstone,3/27/2022,Muladbucad
Denmark,Eagle,Dr,2019,Goldenrod,981990.23,new,Dana Thompstone,4/9/2021,København
China,Plymouth,Mr,1996,Goldenrod,233295.72,used,Leigh Pollicott,3/26/2020,Yong’an
Sierra Leone,Buick,Ms,1997,Fuscia,917560.37,used,Josselyn Rakestraw,3/17/2021,Kukuna
Indonesia,Lincoln,Honorable,2014,Indigo,20326.06,new,Emiline Canto,11/10/2022,Campok
Australia,Buick,Dr,1993,Indigo,972107.04,new,Orelle Van Merwe,5/27/2021,Brisbane
Greece,Daewoo,Rev,2011,Indigo,831399.29,certified pre-owned,Averil McClenaghan,3/12/2021,Kéfalos
Poland,Chevrolet,Mr,2009,Purple,152968.21,certified pre-owned,Rafaello Hegley,3/3/2020,Rekowo Dolne
Malawi,Cadillac,Dr,2013,Teal,162282.57,new,Regan Speaks,7/21/2022,Kasungu
China,Lamborghini,Dr,1998,Fuscia,341197.47,used,Sheeree Warin,7/21/2022,Yanwang
China,GMC,Rev,2022,Goldenrod,499262.32,new,Ronalda Doy,6/28/2021,Xidoupu
Venezuela,Buick,Ms,2008,Mauv,394210.37,new,Arnoldo Towersey,1/10/2022,Encontrados
Finland,Chevrolet,Mrs,2005,Pink,333443.64,used,Angelique Firsby,4/12/2020,Rääkkylä
Peru,Ford,Dr,2001,Violet,827660.45,certified pre-owned,Fairleigh Huggins,10/9/2020,Motupe
China,Ford,Mr,2002,Blue,907550.78,new,Drusi Matyas,2/27/2021,Lipu
Egypt,Porsche,Mr,1993,Goldenrod,505205.54,new,Bill Ropars,1/10/2021,Fuwah
China,Mercedes-Benz,Honorable,2008,Khaki,226507.94,certified pre-owned,Staci Idenden,3/20/2022,Dongxing
Russia,Ford,Mr,2021,Pink,532641.15,used,Maddy Dennerley,6/1/2022,Sokol
China,Cadillac,Honorable,2013,Orange,15584.63,used,Quintin Beatty,4/19/2021,Anju
Japan,Mitsubishi,Mrs,2000,Goldenrod,744870.4,new,Roz Penelli,9/11/2022,Yatsushiro
Brazil,BMW,Mr,2011,Pink,490402.4,certified pre-owned,Tamera Poyzer,3/1/2022,João Monlevade
Poland,Mazda,Mr,2006,Crimson,868255.46,certified pre-owned,Danika Bertl,6/10/2022,Wohyń
Mexico,Chevrolet,Dr,2007,Turquoise,634014.98,used,Ilaire Carver,9/16/2021,Independencia
